25/06/2018 11:33:23 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | D:\IT\C#\Project\WebMvc\WebMvc.Web\Themes\Gland\Views\Shared\_Menu.cshtml(536): error CS0128: A local variable named 'allmenus' is already defined in this scope
28/06/2018 05:56:59 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | D:\IT\C#\Project\WebMvc\WebMvc.Web\Themes\NewsBlue\Views\Shared\_Layout.cshtml(30): error CS1501: No overload for method 'Write' takes 2 arguments
28/06/2018 05:58:14 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | D:\IT\C#\Project\WebMvc\WebMvc.Web\Themes\NewsBlue\Views\Shared\_Layout.cshtml(30): error CS1009: Unrecognized escape sequence
28/06/2018 05:58:33 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | D:\IT\C#\Project\WebMvc\WebMvc.Web\Themes\NewsBlue\Views\Shared\_Layout.cshtml(30): error CS1009: Unrecognized escape sequence
28/06/2018 06:00:12 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | D:\IT\C#\Project\WebMvc\WebMvc.Web\Themes\NewsBlue\Views\Shared\_Layout.cshtml(30): error CS1009: Unrecognized escape sequence
28/06/2018 06:21:48 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
28/06/2018 06:40:58 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
28/06/2018 06:50:35 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
28/06/2018 13:27:34 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
28/06/2018 13:27:35 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | The parameters dictionary contains a null entry for parameter 'id' of non-nullable type 'System.Guid' for method 'System.Web.Mvc.ActionResult Del(System.Guid)' in 'WebMvc.Web.Areas.Admin.Controllers.AdminTopicController'. An optional parameter must be a reference type, a nullable type, or be declared as an optional parameter.
Parameter name: parameters
28/06/2018 13:27:58 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | A public action method 'Delete' was not found on controller 'WebMvc.Web.Areas.Admin.Controllers.AdminTopicController'.
28/06/2018 15:00:34 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
28/06/2018 15:00:57 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | A public action method 'Delete' was not found on controller 'WebMvc.Web.Areas.Admin.Controllers.AdminMenuController'.
28/06/2018 15:02:28 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
28/06/2018 15:02:47 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | The model item passed into the dictionary is of type 'WebMvc.Domain.DomainModel.Entities.Menu', but this dictionary requires a model item of type 'WebMvc.Domain.DomainModel.Entities.Product'.
28/06/2018 15:45:20 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
28/06/2018 16:22:03 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
